Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off2,Matches
380,Luka MilivojeviÄ‡\Luka-Milivojevic,rs SRB,MF,Crystal Palace,26,1991,36,3080,86,90.1,34.2,35,,1,,1,1.14,42,52,-10,-0.29,-0.29,48.1,46.9,+1.2,+0.04,-0.78,Matches
381,James Milner\James-Milner,eng ENG,MF,Liverpool,31,1986,32,1775,55,51.9,19.7,16,,16,,5,2.06,40,25,+15,+0.76,-0.94,34.5,19.2,+15.4,+0.79,-0.39,Matches
382,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Bournemouth,24,1993,4,201,50,5.9,2.2,3,,1,,4,1.50,1,5,-4,-1.79,-1.46,1.1,3.2,-2.1,-0.94,-0.58,Matches
383,Kevin Mirallas\Kevin-Mirallas,be BEL,FWMF,Everton,29,1987,5,138,28,4.0,1.5,2,,3,,3,0.80,2,8,-6,-3.91,-3.69,1.1,4.4,-3.3,-2.20,-2.00,Matches
384,Aleksandar MitroviÄ‡\Aleksandar-Mitrovic,rs SRB,FW,Newcastle Utd,22,1994,6,95,16,2.8,1.1,0,,6,,4,1.17,3,0,+3,+2.84,+3.14,2.8,0.9,+1.9,+1.92,+2.25,Matches
385,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FWMF,Arsenal,28,1989,11,794,72,23.2,8.8,9,,2,,0,1.36,19,13,+6,+0.68,+0.10,15.3,13.9,+1.3,+0.15,-0.22,Matches
386,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,MFFW,Manchester Utd,28,1989,15,922,61,27.0,10.2,11,,4,,1,1.93,19,4,+15,+1.46,+0.56,16.8,7.9,+8.9,+0.86,+0.56,Matches
387,Jayson Molumby\Jayson-Molumby,ie IRL,MF,Brighton,17,1999,0,,,,,0,,0,,3,,,,,,,,,,,,Matches
388,Nacho Monreal\Nacho-Monreal,es ESP,DF,Arsenal,31,1986,28,2243,80,65.6,24.9,26,,2,,2,1.75,48,29,+19,+0.76,+0.46,44.2,29.6,+14.6,+0.59,+0.78,Matches
389,Aaron Mooy\Aaron-Mooy,au AUS,MF,Huddersfield,26,1990,36,3067,85,89.7,34.1,34,,2,,0,0.94,25,52,-27,-0.79,-0.03,29.2,48.7,-19.5,-0.57,+0.05,Matches
390,Ãlvaro Morata\Alvaro-Morata,es ESP,FW,Chelsea,24,1992,31,2061,66,60.3,22.9,24,,7,,0,1.94,38,19,+19,+0.83,+0.50,36.8,19.3,+17.4,+0.76,+0.41,Matches
391,Alberto Moreno\Alberto-Moreno,es ESP,DF,Liverpool,25,1992,16,1266,79,37.0,14.1,14,,2,,8,1.69,28,19,+9,+0.64,-0.91,25.4,16.9,+8.5,+0.61,-0.59,Matches
392,Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,33,1984,32,2817,88,82.4,31.3,32,,0,,1,1.28,48,52,-4,-0.13,-0.13,38.3,42.5,-4.2,-0.14,-0.48,Matches
393,James Morrison\James-Morrison,sco SCO,MF,West Brom,31,1986,4,207,52,6.1,2.3,2,,2,,1,0.50,2,1,+1,+0.43,+1.16,1.3,2.0,-0.7,-0.29,+0.05,Matches
394,Victor Moses\Victor-Moses,ng NGA,DFMF,Chelsea,26,1990,28,2110,75,61.7,23.4,25,,3,,5,1.89,38,20,+18,+0.77,+0.36,31.3,21.2,+10.0,+0.43,-0.45,Matches
395,Steve MouniÃ©\Steve-Mounie,bj BEN,FW,Huddersfield,22,1994,28,1855,66,54.2,20.6,21,,7,,6,0.96,14,32,-18,-0.87,-0.18,20.1,26.6,-6.5,-0.32,+0.57,Matches
396,Lucas Moura\Lucas-Moura,br BRA,FW,Tottenham,24,1992,6,210,35,6.1,2.3,2,,4,,6,1.67,6,6,0,0.00,-1.07,3.9,3.7,+0.2,+0.09,-0.83,Matches
397,Lys Mousset\Lys-Mousset,fr FRA,FWMF,Bournemouth,21,1996,23,596,26,17.4,6.6,4,,19,,9,1.22,16,16,0,0.00,+0.51,9.6,9.4,+0.2,+0.03,+0.51,Matches
398,Joy Mukena\Joy-Mukena,be BEL,DF,Watford,18,1999,0,,,,,0,,0,,2,,,,,,,,,,,,Matches
399,Erwin Mulder\Erwin-Mulder,nl NED,GK,Swansea City,28,1989,0,,,,,0,,0,,3,,,,,,,,,,,,Matches
400,Jacob Murphy\Jacob-Murphy,eng ENG,FWMF,Newcastle Utd,22,1995,25,1148,46,33.6,12.8,13,,12,,11,0.88,10,25,-15,-1.18,-1.45,12.3,21.1,-8.9,-0.70,-0.64,Matches
401,Jamie Murphy\Jamie-Murphy,sco SCO,MF,Brighton,27,1989,4,168,42,4.9,1.9,1,,3,,2,1.00,0,4,-4,-2.14,-1.70,0.7,3.1,-2.4,-1.28,-1.01,Matches
402,Glenn Murray\Glenn-Murray,eng ENG,FW,Brighton,33,1983,35,2192,63,64.1,24.4,25,,10,,1,1.03,25,36,-11,-0.45,+0.21,25.8,28.4,-2.6,-0.11,+0.59,Matches
