Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off2,Matches
385,Eddie Nketiah\Eddie-Nketiah,eng ENG,FW,Arsenal,20,1999,5,251,50,10.0,2.8,3,78,2,9,1,2.20,5,3,+2,+0.72,+0.64,3.5,4.2,-0.7,-0.25,-0.10,Matches
386,Dan Nlundulu\Dan-Nlundulu,eng ENG,FW,Southampton,20,1999,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
387,Mark Noble\Mark-Noble,eng ENG,MF,West Ham,32,1987,26,2147,83,82.3,23.9,26,83,0,,1,1.00,31,37,-6,-0.25,+1.50,26.6,43.0,-16.4,-0.69,+0.05,Matches
388,Oliver Norwood\Oliver-Norwood,nir NIR,MF,Sheffield Utd,28,1991,28,2382,85,94.5,26.5,28,85,0,,0,1.54,28,25,+3,+0.11,-1.19,30.6,31.8,-1.3,-0.05,-0.69,Matches
389,Ã˜rjan Nyland\Orjan-Nyland,no NOR,GK,Aston Villa,28,1990,3,177,59,7.0,2.0,1,90,2,44,14,1.00,2,8,-6,-3.05,-2.44,1.8,4.2,-2.4,-1.22,-0.31,Matches
390,Jack O'Connell\Jack-OConnell,eng ENG,DF,Sheffield Utd,25,1994,28,2520,90,100.0,28.0,28,90,0,,0,1.54,30,25,+5,+0.18,,33.7,34.0,-0.3,-0.01,,Matches
391,Michael Obafemi\Michael-Obafemi,ie IRL,FW,Southampton,19,2000,15,483,32,18.5,5.4,5,71,10,13,7,1.27,7,10,-3,-0.56,+0.03,6.5,8.5,-2.0,-0.37,-0.40,Matches
392,Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,31,1988,24,2160,90,82.8,24.0,24,90,0,,4,1.08,31,36,-5,-0.21,+1.79,27.1,42.6,-15.5,-0.65,+0.28,Matches
393,Divock Origi\Divock-Origi,be BEL,FW,Liverpool,24,1995,22,516,23,19.8,5.7,5,63,17,12,6,2.77,21,10,+11,+1.92,+0.46,12.4,9.1,+3.3,+0.58,-0.44,Matches
394,Ben Osborn\Ben-Osborn,eng ENG,DFMF,Sheffield Utd,24,1994,7,124,18,4.9,1.4,0,,7,18,13,2.43,1,0,+1,+0.73,+0.58,1.7,1.8,-0.1,-0.10,-0.09,Matches
395,NicolÃ¡s Otamendi\Nicolas-Otamendi,ar ARG,DF,Manchester City,31,1988,19,1413,74,56.1,15.7,15,88,4,23,7,1.95,39,19,+20,+1.27,-0.11,40.5,15.9,+24.6,+1.57,+0.38,Matches
396,Owen Otasowie\Owen-Otasowie,eng ENG,MF,Wolves,18,2001,0,,,,,0,,0,,3,,,,,,,,,,,,Matches
397,Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,25,1993,21,1108,53,42.5,12.3,13,74,8,19,4,2.76,28,7,+21,+1.71,+0.27,24.0,12.7,+11.3,+0.92,-0.02,Matches
