Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off2,Matches
55,Philip Billing\Philip-Billing,dk DEN,MF,Huddersfield,22,1996,27,2191,81,64.1,24.3,25,85,2,28,1,0.52,15,43,-28,-1.15,+0.75,19.9,35.2,-15.3,-0.63,+0.60,Matches
56,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,21,1996,28,1769,63,51.7,19.7,17,87,11,26,6,0.93,16,32,-16,-0.81,-0.32,16.8,29.4,-12.6,-0.64,-0.22,Matches
57,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,27,1991,36,3168,88,92.6,35.2,36,88,0,,0,1.42,40,41,-1,-0.03,-0.74,45.6,37.3,+8.3,+0.24,-0.59,Matches
58,LÃ©o Bonatini\Leo-Bonatini,br BRA,FW,Wolves,24,1994,7,129,18,3.8,1.4,0,,7,18,12,1.43,4,0,+4,+2.79,+2.87,5.4,0.8,+4.5,+3.17,+3.00,Matches
59,GaÃ«tan Bong\Gaetan-Bong,cm CMR,DF,Brighton,30,1988,22,1805,82,52.8,20.1,19,90,3,32,16,0.77,18,34,-16,-0.80,-0.30,19.3,34.6,-15.3,-0.76,-0.48,Matches
60,Artur Boruc\Artur-Boruc,pl POL,GK,Bournemouth,38,1980,12,1080,90,31.6,12.0,12,90,0,,26,1.25,20,18,+2,+0.17,+0.78,16.9,18.8,-1.8,-0.15,-0.18,Matches
61,Robbie Brady\Robbie-Brady,ie IRL,MFFW,Burnley,26,1992,16,716,45,20.9,8.0,6,84,10,21,5,0.69,8,16,-8,-1.01,-0.51,10.9,13.8,-2.9,-0.36,+0.26,Matches
62,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,35,1983,0,,,,,0,,0,,2,,,,,,,,,,,,Matches
63,Miguel Britos\Miguel-Britos,uy URU,DF,Watford,33,1985,3,185,62,5.4,2.1,2,86,1,13,9,0.33,2,5,-3,-1.46,-1.35,1.7,4.1,-2.4,-1.18,-1.05,Matches
64,David Brooks\David-Brooks,wal WAL,MFFW,Bournemouth,21,1997,30,2279,76,66.6,25.3,29,78,1,18,3,1.37,40,41,-1,-0.04,+0.99,35.9,33.3,+2.6,+0.10,+0.40,Matches
65,Tyias Browning\Tyias-Browning,eng ENG,DF,Everton,24,1994,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
66,Bruno\Bruno,es ESP,DF,Brighton,37,1980,14,1136,81,33.2,12.6,14,81,0,,9,1.14,10,17,-7,-0.55,+0.15,10.0,17.6,-7.6,-0.60,-0.10,Matches
67,Joe Bryan\Joe-Bryan,eng ENG,DF,Fulham,24,1993,28,2350,84,68.7,26.1,27,87,1,13,4,0.75,22,54,-32,-1.23,+0.04,27.7,42.1,-14.5,-0.55,+0.40,Matches
68,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,26,1992,0,,,,,0,,0,,14,,,,,,,,,,,,Matches
69,Matt Butcher\Matt-Butcher,eng ENG,MF,Bournemouth,21,1997,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
70,David Button\David-Button,eng ENG,GK,Brighton,29,1989,4,360,90,10.5,4.0,4,90,0,,25,1.00,4,5,-1,-0.25,+0.46,2.8,6.1,-3.2,-0.81,-0.30,Matches
71,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,36,1981,2,180,90,5.3,2.0,2,90,0,,36,2.00,2,0,+2,+1.00,+0.39,2.2,0.9,+1.4,+0.68,+0.07,Matches
72,Gary Cahill\Gary-Cahill,eng ENG,DF,Chelsea,32,1985,2,22,11,0.6,0.2,0,,2,11,8,2.00,0,0,0,0.00,-0.64,0.5,0.3,+0.2,+0.85,+0.24,Matches
73,Tom Cairney\Tom-Cairney,sco SCO,MFFW,Fulham,27,1991,31,2198,71,64.3,24.4,24,82,7,32,1,0.68,22,51,-29,-1.19,+0.14,25.0,37.7,-12.7,-0.52,+0.44,Matches
74,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,21,1997,35,1774,51,51.9,19.7,19,84,16,11,2,1.40,29,26,+3,+0.15,-0.12,26.4,21.4,+5.0,+0.26,+0.37,Matches
75,Rafael Camacho\Rafael-Camacho,pt POR,DF,Liverpool,18,2000,1,,0,0.0,0.0,0,,1,0,7,3.00,0,1,-1,,,0.0,0.2,-0.2,,,Matches
76,VÃ­ctor Camarasa\Victor-Camarasa,es ESP,MF,Cardiff City,24,1994,32,2579,81,75.4,28.7,31,83,1,7,1,0.88,25,53,-28,-0.98,-0.23,25.9,45.8,-19.9,-0.69,-0.46,Matches
