Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
592,Sam Vokes\Sam-Vokes,wal WAL,FW,Burnley,24,1989,15,567,38,16.6,6.3,5,,10,,2,0.80,2,5,-3,-0.48,+0.22,Matches
593,Michel Vorm\Michel-Vorm,nl NED,GK,Tottenham,30,1983,4,357,89,10.4,4.0,3,,1,,31,1.75,7,5,+2,+0.50,+0.42,Matches
594,Haris VuÄkiÄ‡\Haris-Vuckic,si SVN,FWMF,Newcastle Utd,21,1992,1,9,9,0.3,0.1,0,,1,,2,0.00,1,0,+1,+10.00,+10.63,Matches
595,Theo Walcott\Theo-Walcott,eng ENG,FWMF,Arsenal,25,1989,14,447,32,13.1,5.0,4,,10,,10,1.71,12,6,+6,+1.21,+0.33,Matches
596,Kyle Walker\Kyle-Walker,eng ENG,DF,Tottenham,24,1990,15,1306,87,38.2,14.5,15,,0,,1,2.13,32,24,+8,+0.55,+0.68,Matches
597,Ross Wallace\Ross-Wallace,sco SCO,FWMF,Burnley,29,1985,15,241,16,7.0,2.7,1,,14,,17,0.20,2,2,0,0.00,+0.71,Matches
598,Jonathan Walters\Jonathan-Walters,ie IRL,FWMF,Stoke City,30,1983,32,2419,76,70.7,26.9,28,,4,,2,1.53,35,28,+7,+0.26,+0.62,Matches
599,Victor Wanyama\Victor-Wanyama,ke KEN,MF,Southampton,23,1991,32,2360,74,69.0,26.2,26,,6,,1,1.56,29,26,+3,+0.11,-1.41,Matches
600,Danny Ward\Danny-Ward,wal WAL,GK,Liverpool,21,1993,0,,,,,0,,0,,14,,,,,,,Matches
601,Joel Ward\Joel-Ward,eng ENG,DFMF,Crystal Palace,24,1989,37,3330,90,97.4,37.0,37,,0,,0,1.30,47,49,-2,-0.05,+1.95,Matches
602,Stephen Ward\Stephen-Ward,ie IRL,DFFW,Burnley,28,1985,9,624,69,18.2,6.9,7,,2,,13,1.67,8,11,-3,-0.43,+0.28,Matches
603,James Ward-Prowse\James-Ward-Prowse,eng ENG,MF,Southampton,19,1994,25,1477,59,43.2,16.4,16,,9,,2,1.64,24,14,+10,+0.61,+0.10,Matches
604,Marcin Wasilewski\Marcin-Wasilewski,pl POL,DF,Leicester City,34,1980,25,1989,80,58.2,22.1,22,,3,,13,1.08,25,28,-3,-0.14,+0.24,Matches
605,Duncan Watmore\Duncan-Watmore,eng ENG,FWMF,Sunderland,20,1994,0,,,,,0,,0,,2,,,,,,,Matches
606,Rory Watson\Rory-Watson,eng ENG,GK,Hull City,18,1996,0,,,,,0,,0,,2,,,,,,,Matches
607,Andreas Weimann\Andreas-Weimann,at AUT,FWMF,Aston Villa,22,1991,31,1775,57,51.9,19.7,20,,11,,6,0.90,11,22,-11,-0.56,+0.26,Matches
608,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Arsenal,23,1990,25,1663,67,48.6,18.5,18,,7,,1,2.00,36,19,+17,+0.92,0.00,Matches
609,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Manchester Utd,23,1990,2,46,23,1.3,0.5,0,,2,,0,1.00,0,0,0,0.00,-0.67,Matches
610,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Aston Villa,24,1990,27,2149,80,62.8,23.9,25,,2,,2,1.04,18,36,-18,-0.75,-0.19,Matches
611,Glenn Whelan\Glenn-Whelan,ie IRL,MF,Stoke City,30,1984,28,2258,81,66.0,25.1,26,,2,,5,1.61,31,28,+3,+0.12,+0.12,Matches
