TeamEGoals,AllowedEGoals,TeamPressure,AllowedPressure,matchtime,matchday,PG,HA,TeamShots,AllowedShots,TeamFouls,AllowedFouls,TeamCorners,AllowedCorners,TeamYellow,TeamRed,AllowedYellow,DifShots,DifFouls,DifCorners,DifYellow,DifRed,DifPressure,DifEGoals,AllowedRed,matchdayaux
0.741615,2.3882401,20.928572,4.4000001,15,Sat,0,1,0.40000001,0.23999999,12,9,2,10,1,0,2,0.16000001,3,-8,-1,0,16.528572,-1.646625,0,3
2.6549599,0.455082,6.967742,15.210526,15,Sat,3,1,0.23809524,0,11,8,8,3,0,0,1,0.23809524,3,5,-1,0,-8.2427845,2.199878,0,3
0.89388901,3.36132,17.75,3.1923077,15,Sat,0,0,1,0.15384616,10,11,0,17,1,0,3,0.84615386,-1,-17,-2,0,14.557693,-2.4674311,0,3
1.02552,1.5103,14.071428,11.76,15,Sat,1,1,0.40000001,0.31999999,6,15,8,9,0,0,2,0.080000013,-9,-1,-2,0,2.3114281,-0.48478007,0,3
1.9319201,1.53597,14.470589,4.1666665,15,Sat,3,0,0.75,0.375,7,10,3,7,1,0,2,0.375,-3,-4,-1,0,10.303923,0.39595008,0,3
0.71661299,2.58392,8.5,17.714285,15,Sat,0,0,0,0.46153846,12,8,6,7,2,0,1,-0.46153846,4,-1,1,0,-9.2142849,-1.8673069,0,3
2.18313,1.4744,11.263158,20.200001,17,Sat,3,0,0.625,0.25,5,8,6,1,2,0,4,0.375,-3,5,-2,-1,-8.9368429,0.70872998,1,3
0.44290999,0.98116702,17.799999,6.4137931,14,Sun,0,1,0.25,0.35714287,15,16,5,6,2,0,2,-0.10714287,-1,-1,0,0,11.386206,-0.538257,0,4
1.15532,0.243393,11.24,10.222222,16,Sun,1,1,0.42857143,0.5,9,8,5,2,1,0,2,-0.071428567,1,3,-1,0,1.0177774,0.91192704,0,4
0.62103999,1.36017,7.5789475,15.545455,20,Fri,0,1,0.29411766,0.16666667,7,13,10,4,1,0,2,0.12745099,-6,6,-1,0,-7.9665074,-0.73913002,0,1
3.2890301,0.47948799,7.75,13.913043,12,Sat,3,1,0.2173913,0.33333334,9,17,7,0,3,0,2,-0.11594205,-8,7,1,0,-6.163043,2.8095422,0,3
0.92344302,1.5104001,11.517241,9.5294113,15,Sat,1,0,0.2857143,0.29411766,9,6,4,4,2,0,2,-0.008403361,3,0,0,0,1.9878302,-0.58695704,0,3
2.4158001,0.47428101,9.083333,5.7083335,15,Sat,3,1,0.85714287,0.5714286,17,10,11,4,2,0,1,0.28571427,7,7,1,0,3.3749995,1.941519,0,3
2.3306,1.9213001,18.882353,7.8235292,15,Sat,3,1,0.44999999,0.1875,10,5,5,4,2,0,0,0.26249999,5,1,2,0,11.058824,0.40929997,0,3
2.08883,0.74228102,6.516129,9.9411764,15,Sat,3,0,0.20833333,0.75,12,12,9,5,1,0,1,-0.54166669,0,4,0,0,-3.4250474,1.346549,0,3
1.37055,0.961339,8.0882349,17.142857,17,Sat,3,1,0.36842105,0.125,10,10,5,4,1,0,1,0.24342105,0,1,0,0,-9.0546217,0.40921104,0,3
0.473225,2.0989101,6.3000002,6.59375,14,Sun,0,0,0.30769232,0.29411766,8,17,3,6,3,0,4,0.01357466,-9,-3,-1,-1,-0.29374981,-1.6256851,1,4
1.1342,3.6529901,5.3142858,11.961538,14,Sun,0,0,0.33333334,0.52380955,14,10,2,5,5,0,2,-0.19047621,4,-3,3,0,-6.6472526,-2.5187902,0,4
1.48104,1.3319,12.047619,20.461538,16,Sun,0,0,0.16666667,0.41666666,5,10,13,4,2,0,0,-0.24999999,-5,9,2,0,-8.4139194,0.14914,0,4
0.66144902,2.20681,11.333333,9.086957,12,Sat,0,1,0.36363637,0.40000001,12,14,3,7,3,0,2,-0.036363631,-2,-4,1,0,2.246376,-1.545361,0,3
1.80849,0.812693,8.217391,5.9565215,15,Sat,3,0,0.38461539,0.3888889,11,12,7,7,5,0,3,-0.004273504,-1,0,2,0,2.2608695,0.99579704,0,3
1.02306,1.64291,21.923077,10.111111,15,Sat,0,1,0.375,0.33333334,8,7,9,8,0,0,1,0.041666657,1,1,-1,0,11.811966,-0.61985004,0,3
0.784706,3.5091701,16.466667,27,15,Sat,0,1,0,0.47368422,9,1,6,7,2,0,0,-0.47368422,8,-1,2,0,-10.533333,-2.7244639,0,3
0.90238398,2.6628101,5.9473686,11.625,15,Sat,0,1,0.26666668,0.45454547,14,13,7,5,0,0,3,-0.18787879,1,2,-3,0,-5.6776314,-1.760426,0,3
1.60823,2.6031201,6,7.3428574,15,Sat,1,1,0.41666666,0.2857143,13,19,6,8,6,0,2,0.13095236,-6,-2,4,0,-1.3428574,-0.99489009,0,3
1.2765,0.84978902,13.7,14.043478,15,Sat,3,0,0.41176471,0.22222222,12,10,9,5,1,0,2,0.18954249,2,4,-1,0,-0.3434782,0.42671096,0,3
1.23596,0.82047403,16.333334,18.631578,17,Sat,3,1,0.26666668,0.18181819,5,9,8,2,1,0,1,0.084848493,-4,6,0,0,-2.2982445,0.41548598,0,3
1.33065,1.56025,8.6315794,10.483871,16,Sun,1,0,0.45454547,0.66666669,10,13,3,6,2,0,1,-0.21212122,-3,-3,1,0,-1.8522911,-0.22960007,0,4
0.69783998,2.6984999,17.6,7.3333335,20,Mon,0,0,0.45454547,0.47058824,9,10,6,11,1,0,1,-0.016042769,-1,-5,0,0,10.266666,-2.0006599,0,2
0.208252,2.4438901,38.555557,4.1153846,12,Sat,1,1,0.5,0.375,4,6,1,10,1,0,2,0.125,-2,-9,-1,0,34.440174,-2.2356381,0,3
1.12034,2.7318499,11.205882,11.357142,15,Sat,3,0,0.80000001,0.31578946,16,0,3,9,3,0,0,0.48421055,16,-6,3,0,-0.15126038,-1.6115099,0,3
1.02949,2.93189,8.5625,8.8888893,15,Sat,0,0,0.30000001,0.33333334,12,10,8,4,2,0,0,-0.033333331,2,4,2,0,-0.32638931,-1.9024,0,3
0.86760098,1.36832,15.055555,14.916667,15,Sat,0,0,0.41666666,0.46666667,10,3,5,4,0,0,0,-0.050000012,7,1,0,0,0.13888836,-0.50071901,0,3
0.93673199,1.8509001,7.2916665,8.375,15,Sat,3,0,0.2857143,0.26666668,10,13,6,5,0,0,2,0.019047618,-3,1,-2,0,-1.0833335,-0.91416806,0,3
0.50400501,1.9671,14.2,7.5555553,17,Sat,0,0,0.5,0.54545456,10,6,7,6,0,0,1,-0.045454562,4,1,-1,0,6.6444445,-1.4630949,0,3
1.27422,1.47296,7.5714288,7.891892,14,Sun,1,1,0.23076923,0.44444445,12,18,7,2,1,0,4,-0.21367522,-6,5,-3,-1,-0.32046318,-0.19874001,1,4
1.96157,0.81059599,7.8846154,24.666666,14,Sun,1,0,0.4375,0.53333336,10,8,12,7,1,0,2,-0.095833361,2,5,-1,0,-16.782051,1.150974,0,4
1.2970099,1.84804,12,6.652174,16,Sun,1,0,0.33333334,0.375,8,16,9,9,1,0,4,-0.041666657,-8,0,-3,-1,5.347826,-0.55103004,1,4
1.24986,2.24348,18.35,5.6086955,16,Sun,0,0,0.27272728,0.375,9,7,4,4,1,0,0,-0.10227272,2,0,1,0,12.741304,-0.99361992,0,4
0.34279901,0.38376299,5.6190476,20.333334,19,Tue,0,0,0.5,0.2857143,15,6,9,6,3,0,3,0.2142857,9,3,0,0,-14.714287,-0.040963978,0,6
0.48654801,2.56057,25.9375,11.2,20,Tue,0,1,0.5,0.47058824,9,6,3,6,1,0,1,0.029411763,3,-3,0,0,14.7375,-2.0740221,0,6
